iter	Logloss
0	0.29867697
1	0.2067358638
2	0.1427274859
3	0.1199836169
4	0.1094104411
5	0.09789448176
6	0.09339633789
7	0.08667297228
8	0.07964751436
9	0.07314723272
10	0.0648823821
11	0.06063631955
12	0.053448155
13	0.04963527654
14	0.04442877895
15	0.04225304517
16	0.04053287559
17	0.03890727607
18	0.03802121725
19	0.03698611725
20	0.03609145956
21	0.03474517697
22	0.03323466641
23	0.03229162383
24	0.03084227813
25	0.02943423825
26	0.02844300527
27	0.02719895054
28	0.02646349878
29	0.0258124703
30	0.02521746655
31	0.02454107189
32	0.02412759337
33	0.02376325487
34	0.02329977116
35	0.02283440026
36	0.02237601664
37	0.02200528381
38	0.02165711285
39	0.02132426976
40	0.02086731919
41	0.0204617704
42	0.02015769356
43	0.01953445617
44	0.01919329422
45	0.01879518534
46	0.01834144281
47	0.01806936667
48	0.01781642548
49	0.01756665731
50	0.01731376729
51	0.01708911971
52	0.01682713589
53	0.01634146793
54	0.01578102344
55	0.01560771129
56	0.01539848264
57	0.01474664639
58	0.01450559302
59	0.01430712992
60	0.01415251664
61	0.01392078235
62	0.0137188746
63	0.01346736766
64	0.01329741718
65	0.01306580513
66	0.01277840879
67	0.01258083048
68	0.01235031554
69	0.01218623281
70	0.01204002201
71	0.01195391635
72	0.01177319306
73	0.01163273872
74	0.011518058
75	0.01129383183
76	0.01114870004
77	0.01102370635
78	0.01089361294
79	0.01084200223
80	0.01074454759
81	0.01061699555
82	0.01050980459
83	0.01041048794
84	0.01033669108
85	0.01013254761
86	0.009992880006
87	0.009878685802
88	0.009721335049
89	0.009607429931
90	0.009480928425
91	0.009359855914
92	0.009190070489
93	0.008984445884
94	0.008881835237
95	0.008812277588
96	0.008761909106
97	0.008576817402
98	0.008455598019
99	0.00838249021
100	0.00828234519
101	0.008189923095
102	0.00811966287
103	0.008029906631
104	0.007920595476
105	0.007889636135
106	0.007815980278
107	0.007774200331
108	0.007707431363
109	0.007608158567
110	0.007525892832
111	0.007479274368
112	0.007427424752
113	0.007344200462
114	0.007254519596
115	0.007198107372
116	0.00716208575
117	0.007114045412
118	0.007061072237
119	0.007004006395
120	0.006971069834
121	0.006932443226
122	0.006898931707
123	0.006817634559
124	0.00675263533
125	0.006657450764
126	0.00662869621
127	0.00659508109
128	0.006564528742
129	0.006463620472
130	0.006399227478
131	0.006358973299
132	0.006341973318
133	0.006299766142
134	0.006254660507
135	0.006212457443
136	0.006128678874
137	0.006059558803
138	0.005994859933
139	0.005940404749
140	0.005886863595
141	0.005856370278
142	0.005833012217
143	0.005806198335
144	0.005744555873
145	0.0056984753
146	0.005638969935
147	0.005614689559
148	0.0055669148
149	0.005520565083
150	0.005491987198
151	0.005463075501
152	0.005437011223
153	0.005421903298
154	0.005376379136
155	0.005350007349
156	0.005329847838
